timestamp,symbol,action,qty,price,charges,reason,bankroll_after
2026-07-09 09:31:48,ACCURACY.NS,BUY,97,5.340000152587891,0.2206,"momentum +1.71%, RSI=51.09",130.11
2026-07-09 09:36:50,ROLLT.NS,BUY,41,2.509999990463257,0.0438,"momentum +2.03%, RSI=33.33",27.16
2026-07-09 09:41:53,ROLLT.NS,SELL,41,2.450000047683716,0.0649,STOP-LOSS (-2.39%),127.54
2026-07-09 09:41:53,NOIDATOLL.NS,BUY,21,4.75,0.0425,"momentum +0.85%, RSI=47.73",27.75
2026-07-09 09:46:56,ACCURACY.NS,SELL,97,5.260000228881836,0.3295,STOP-LOSS (-1.50%),537.64
2026-07-09 09:51:59,ORIENTALTL.NS,BUY,75,5.699999809265137,0.1821,"momentum +1.79%, RSI=55.88",109.96
2026-07-09 09:57:02,ORIENTALTL.NS,SELL,75,5.590000152587891,0.2708,STOP-LOSS (-1.93%),528.94
2026-07-09 09:57:02,DANGEE.NS,BUY,131,3.2300000190734863,0.1802,"momentum +1.89%, RSI=56.6",105.63
2026-07-09 10:37:24,DANGEE.NS,SELL,131,3.1700000762939453,0.2682,STOP-LOSS (-1.86%),520.63
2026-07-09 10:42:27,GAYAHWS.NS,BUY,222,1.8700000047683716,0.1768,"momentum +1.63%, RSI=54.17",105.31
2026-07-09 11:27:53,NOIDATOLL.NS,SELL,21,4.800000190734863,0.0651,RSI OVERBOUGHT (100.0),206.05
2026-07-09 11:32:56,ZENITHSTL.NS,BUY,29,5.539999961853027,0.0684,"momentum +2.21%, RSI=51.43",45.32
2026-07-09 12:03:13,ZENITHSTL.NS,SELL,29,5.409999847412109,0.1013,STOP-LOSS (-2.35%),202.11
2026-07-09 12:08:15,ARSHIYA.NS,BUY,148,1.090000033378601,0.0687,"momentum +3.81%, RSI=60.0",40.72
2026-07-09 12:28:27,ARSHIYA.NS,SELL,148,1.090000033378601,0.1042,RSI OVERBOUGHT (100.0),201.93
2026-07-09 12:33:29,GAYAHWS.NS,SELL,222,1.8200000524520874,0.261,STOP-LOSS (-2.67%),605.71
2026-07-09 12:48:38,NOIDATOLL.NS,BUY,102,4.75,0.2063,"momentum +0.64%, RSI=40.74",121.01
2026-07-09 12:58:43,ACCURACY.NS,BUY,18,5.300000190734863,0.0406,"momentum +2.71%, RSI=50.0",25.57
2026-07-09 13:59:17,NOIDATOLL.NS,SELL,102,4.699999809265137,0.3096,STOP-LOSS (-1.05%),504.66
2026-07-09 13:59:17,ACCURACY.NS,SELL,18,5.28000020980835,0.0614,RSI OVERBOUGHT (88.24),599.63
2026-07-09 13:59:17,VAISHALI.NS,BUY,64,7.480000019073486,0.2039,"momentum +1.08%, RSI=64.29",120.71
2026-07-09 14:04:20,VAISHALI.NS,SELL,64,7.400000095367432,0.3059,STOP-LOSS (-1.07%),594.0
2026-07-09 14:09:23,AJOONI.NS,BUY,126,3.759999990463257,0.2018,"momentum +1.08%, RSI=54.55",120.04
2026-07-09 14:29:34,PARASPETRO.NS,BUY,46,2.059999942779541,0.0404,"momentum +2.49%, RSI=53.85",25.24
2026-07-09 15:20:02,AJOONI.NS,SELL,126,3.7200000286102295,0.3027,FORCE-CLOSE (session end),493.66
2026-07-09 15:20:02,PARASPETRO.NS,SELL,46,2.0199999809265137,0.06,FORCE-CLOSE (session end),586.52
