timestamp,symbol,action,qty,price,charges,reason,bankroll_after
2026-07-07 09:26:43,OSIAHYPER.NS,BUY,166,3.190000057220459,0.2255,"momentum +1.92%, RSI=41.94",135.73
2026-07-07 09:36:48,LCCINFOTEC.NS,BUY,22,4.889999866485596,0.0458,"momentum +4.04%, RSI=57.14",28.11
2026-07-07 10:17:07,LCCINFOTEC.NS,SELL,22,4.800000190734863,0.0682,STOP-LOSS (-1.84%),133.64
2026-07-07 10:17:07,VAISHALI.NS,BUY,14,7.489999771118164,0.0447,"momentum +2.46%, RSI=49.55",28.74
2026-07-07 11:12:34,VAISHALI.NS,SELL,14,7.489999771118164,0.0677,RSI OVERBOUGHT (82.14),133.53
2026-07-07 11:27:41,ROLLT.NS,BUY,41,2.5999999046325684,0.0454,"momentum +1.17%, RSI=54.35",26.88
2026-07-07 12:23:08,ROLLT.NS,SELL,41,2.549999952316284,0.0675,STOP-LOSS (-1.92%),131.37
2026-07-07 12:33:13,ACCURACY.NS,BUY,19,5.380000114440918,0.0435,"momentum +1.13%, RSI=50.0",29.1
2026-07-07 12:53:23,OSIAHYPER.NS,SELL,166,3.130000114440918,0.3356,STOP-LOSS (-1.88%),548.35
2026-07-07 12:58:26,ACCURACY.NS,SELL,19,5.320000171661377,0.0653,STOP-LOSS (-1.12%),649.36
2026-07-07 13:03:28,OSIAHYPER.NS,BUY,162,3.200000047683716,0.2208,"momentum +1.91%, RSI=58.33",130.74
2026-07-07 13:28:41,ARSHIYA.NS,BUY,96,1.0800000429153442,0.0442,"momentum +2.86%, RSI=58.33",27.02
2026-07-07 13:48:51,ARSHIYA.NS,SELL,96,1.0800000429153442,0.067,RSI OVERBOUGHT (100.0),130.63
2026-07-07 13:48:51,ROLLT.NS,BUY,40,2.5899999141693115,0.0441,"momentum +1.57%, RSI=55.56",26.98
2026-07-07 14:44:19,ROLLT.NS,SELL,40,2.7300000190734863,0.0705,TAKE-PROFIT (5.41%),136.11
